expr;mon_ru;mon_lu;mon_rd;mon_ld;quant;cons_l;cons_r;compl
lambda a, b: len(a) > len(b);0.11621811777814428;1.0;1.0;0.00938022656538584;1.0;0.8856018778086008;0.8702939671010087;1306.5477645069116
lambda a, b: len(b) > len(a);1.0;0.11621811777814428;0.00938022656538584;1.0;1.0;0.8702939671010087;0.8856018778086004;1303.808670660985
lambda a, b: len(a) <= 1;1.0;0.20670473522687527;1.0;1.0;1.0;1.0;0.8094224854739085;454.68957842378893
lambda a, b: len(b) <= 1;0.20670473522687527;1.0;1.0;1.0;1.0;0.8094224854739085;1.0;430.03773381045096
lambda a, b: len(a) <= 2;1.0;0.13126070777701349;1.0;1.0;1.0;1.0;0.80468052179648;597.1224584119637
lambda a, b: len(b) <= 2;0.13126070777701349;1.0;1.0;1.0;1.0;0.8046805217964799;1.0;577.9488014904787
lambda a, b: len(a) <= 3;1.0;0.07463488244276129;1.0;1.0;1.0;1.0;0.7992801157460081;723.12077532458
lambda a, b: len(b) <= 3;0.07463488244276129;1.0;1.0;1.0;1.0;0.7992801157460079;1.0;692.9907430193891
lambda a, b: len(a) <= 4;1.0;0.03649075402848301;1.0;1.0;1.0;1.0;0.7954603227570242;788.8590276268145
lambda a, b: len(b) <= 4;0.03649075402848301;1.0;1.0;1.0;1.0;0.7954603227570245;1.0;753.2508076297709
lambda a, b: len(a) <= 5;1.0;0.014857515673022403;1.0;1.0;1.0;1.0;0.7953926289481299;794.3372153186674
lambda a, b: len(b) <= 5;0.014857515673022403;1.0;1.0;1.0;1.0;0.7953926289481298;1.0;758.7289953216236
lambda a, b: len(a) <= 6;1.0;0.004910952580640449;1.0;1.0;1.0;1.0;0.800812126926132;739.5553384001386
lambda a, b: len(b) <= 6;0.004910952580640449;1.0;1.0;1.0;1.0;0.8008121269261312;1.0;709.4253060949477
lambda a, b: len(a) <= 7;1.0;0.0012658319569323062;1.0;1.0;1.0;1.0;0.8127744467827982;624.5133968712281
lambda a, b: len(b) <= 7;0.0012658319569323062;1.0;1.0;1.0;1.0;0.8127744467827983;1.0;605.3397399497431
lambda a, b: len(a) <= 8;1.0;0.0002191073666160115;1.0;1.0;1.0;1.0;0.8316488496863903;449.21139073193604
lambda a, b: len(b) <= 8;0.0002191073666160115;1.0;1.0;1.0;1.0;0.8316488496863901;1.0;446.47229688600964
lambda a, b: len(set(a).intersection(b)) == 0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;410.8640768889659
lambda a, b: len(set(a).intersection(b)) != 0;1.0;1.0;0.0038743993126511;0.0038743993126511;1.0;1.0;1.0;410.8640768889659
lambda a, b: set(a) <= set(b[:1]);1.0;0.32802451428812496;0.8983823852309405;1.0;0.9021309285170512;1.0;0.8042618570341025;273.90938459264396
lambda a, b: set(a) <= set(b[-1:]);0.7864948617796959;0.32802451428812496;0.8983823852309405;1.0;0.9021309285170512;0.9021309285170512;0.8042618570341025;273.90938459264396
lambda a, b: set(a) <= set(b[:2]);1.0;0.35232219093858996;0.8261115212346969;1.0;0.8572906418055041;1.0;0.7941472657552403;410.8640768889659
lambda a, b: set(a) <= set(b[-2:]);0.7868449138942832;0.35232219093858996;0.8261115212346969;1.0;0.8572906418055041;0.8775571241149599;0.7941472657552403;287.60485382227614
